iteration,err,validation_err
0,3.40735,0
1,2.37485,0
2,1.75621,0
3,0.80519,0
4,0.710317,0
5,0.0445794,0
6,0.00710724,0
7,0.00707335,0
8,0.0070453,0
9,0.00702127,0
10,0.00700007,0
11,0.00698089,0
12,0.00696316,0
13,0.00694645,0
14,0.00693047,0
15,0.00691498,0
16,0.00689981,0
17,0.00688481,0
18,0.00686988,0
19,0.00685494,0
20,0.00683991,0
21,0.00682474,0
22,0.00680937,0
23,0.00679378,0
24,0.00677792,0
25,0.00676177,0
26,0.0067453,0
27,0.00672848,0
28,0.0067113,0
29,0.00669374,0
30,0.00667578,0
31,0.00665739,0
32,0.00663858,0
33,0.00661931,0
34,0.00659957,0
35,0.00657934,0
36,0.00655862,0
37,0.00653738,0
38,0.00651562,0
39,0.0064933,0
40,0.00647043,0
41,0.00644698,0
42,0.00642295,0
43,0.00639831,0
44,0.00637305,0
45,0.00634717,0
46,0.00632065,0
47,0.00629347,0
48,0.00626564,0
49,0.00623714,0
50,0.00620798,0
51,0.00617813,0
52,0.00614761,0
53,0.00611642,0
54,0.00608457,0
55,0.00605205,0
56,0.0060189,0
57,0.00598512,0
58,0.00595074,0
59,0.00591579,0
60,0.00588031,0
61,0.00584435,0
62,0.00580794,0
63,0.00577116,0
64,0.00573405,0
65,0.00569671,0
66,0.00565921,0
67,0.00562163,0
68,0.00558407,0
69,0.00554663,0
70,0.00550942,0
71,0.00547253,0
72,0.00543609,0
73,0.00540019,0
74,0.00536494,0
75,0.00533043,0
76,0.00529677,0
77,0.00526403,0
78,0.00523227,0
79,0.00520155,0
80,0.0051719,0
81,0.00514335,0
82,0.00511589,0
83,0.0050895,0
84,0.00506417,0
85,0.00503982,0
86,0.00501642,0
87,0.00499387,0
88,0.0049721,0
89,0.00495102,0
90,0.00493053,0
91,0.00491055,0
92,0.00489098,0
93,0.00487172,0
94,0.00485269,0
95,0.00483381,0
96,0.004815,0
97,0.00479618,0
98,0.0047773,0
99,0.00475829,0
100,0.00473911,0
101,0.00471969,0
102,0.00470001,0
103,0.00468003,0
104,0.0046597,0
105,0.00463901,0
106,0.00461793,0
107,0.00459643,0
108,0.0045745,0
109,0.00455212,0
110,0.00452928,0
111,0.00450597,0
112,0.00448218,0
113,0.0044579,0
114,0.00443314,0
115,0.00440789,0
116,0.00438215,0
117,0.00435594,0
118,0.00432926,0
119,0.00430212,0
120,0.00427455,0
121,0.00424655,0
122,0.00421816,0
123,0.00418941,0
124,0.00416033,0
125,0.00413096,0
126,0.00410133,0
127,0.00407151,0
128,0.00404154,0
129,0.00401149,0
130,0.00398141,0
131,0.00395138,0
132,0.00392145,0
133,0.00389172,0
134,0.00386225,0
135,0.00383313,0
136,0.00380441,0
137,0.0037762,0
138,0.00374854,0
139,0.00372152,0
140,0.0036952,0
141,0.00366962,0
142,0.00364484,0
143,0.00362089,0
144,0.0035978,0
145,0.00357558,0
146,0.00355424,0
147,0.00353376,0
148,0.00351413,0
149,0.00349532,0
150,0.00347729,0
151,0.00345999,0
152,0.00344337,0
153,0.00342736,0
154,0.00341191,0
155,0.00339695,0
156,0.00338241,0
157,0.00336823,0
158,0.00335434,0
159,0.00334068,0
160,0.00332719,0
161,0.00331381,0
162,0.00330048,0
163,0.00328717,0
164,0.00327382,0
165,0.00326039,0
166,0.00324684,0
167,0.00323314,0
168,0.00321926,0
169,0.00320516,0
170,0.00319081,0
171,0.0031762,0
172,0.0031613,0
173,0.00314609,0
174,0.00313054,0
175,0.00311464,0
176,0.00309837,0
177,0.00308171,0
178,0.00306465,0
179,0.00304716,0
180,0.00302924,0
181,0.00301086,0
182,0.00299201,0
183,0.00297268,0
184,0.00295284,0
185,0.0029325,0
186,0.00291163,0
187,0.00289022,0
188,0.00286825,0
189,0.00284572,0
190,0.00282261,0
191,0.00279892,0
192,0.00277462,0
193,0.00274973,0
194,0.00272422,0
195,0.00269809,0
196,0.00267135,0
197,0.00264399,0
198,0.00261602,0
199,0.00258744,0
200,0.00255826,0
201,0.00252849,0
202,0.00249816,0
203,0.00246728,0
204,0.00243589,0
205,0.00240402,0
206,0.00237171,0
207,0.00233901,0
208,0.00230598,0
209,0.00227267,0
210,0.00223915,0
211,0.0022055,0
212,0.0021718,0
213,0.00213814,0
214,0.00210462,0
215,0.00207132,0
216,0.00203836,0
217,0.00200583,0
218,0.00197385,0
219,0.00194249,0
220,0.00191188,0
221,0.00188208,0
222,0.00185319,0
223,0.00182526,0
224,0.00179836,0
225,0.00177253,0
226,0.00174779,0
227,0.00172415,0
228,0.0017016,0
229,0.00168012,0
230,0.00165967,0
231,0.0016402,0
232,0.00162164,0
233,0.00160392,0
234,0.00158696,0
235,0.00157067,0
236,0.00155496,0
237,0.00153976,0
238,0.00152496,0
239,0.00151048,0
240,0.00149624,0
241,0.00148216,0
242,0.00146818,0
243,0.00145422,0
244,0.00144022,0
245,0.00142613,0
246,0.00141189,0
247,0.00139747,0
248,0.00138282,0
249,0.00136789,0
250,0.00135266,0
251,0.0013371,0
252,0.00132117,0
253,0.00130486,0
254,0.00128813,0
255,0.00127096,0
256,0.00125333,0
257,0.00123523,0
258,0.00121663,0
259,0.00119752,0
260,0.00117788,0
261,0.0011577,0
262,0.00113697,0
263,0.00111567,0
264,0.00109379,0
265,0.00107132,0
266,0.00104827,0
267,0.00102462,0
268,0.00100037,0
269,0.000975533,0
270,0.000950105,0
271,0.000924098,0
272,0.000897528,0
273,0.000870411,0
274,0.000842774,0
275,0.000814646,0
276,0.000786066,0
277,0.000757076,0
278,0.000727729,0
279,0.000698086,0
280,0.000668214,0
281,0.00063819,0
282,0.000608099,0
283,0.000578035,0
284,0.000548099,0
285,0.0005184,0
286,0.000489051,0
287,0.000460172,0
288,0.000431884,0
289,0.000404309,0
290,0.000377569,0
